"SP","Format","Param","Method","Estimate","Sd_2.5","Sd_97.5","Migr"
"Cjuli","Li_Ga","N1","Neural network",879830.017067183,818633.918966541,950355.586493786,"Bimodal"
"Cjuli","Li_Ga","N1","Random forest",796123.487666667,651109.473684211,950112.867647059,"Bimodal"
"Cjuli","Li_Ga","N2","Neural network",716427.23634085,649532.171489221,786357.848450348,"Bimodal"
"Cjuli","Li_Ga","N2","Random forest",613118.530333333,499987.827715356,736521.041666667,"Bimodal"
"Cjuli","Li_Ga","Na","Neural network",508831.91309917,459291.683388574,556531.313623903,"Bimodal"
"Cjuli","Li_Ga","Na","Random forest",507528.386416667,435544.886363636,566742.5,"Bimodal"
"Cjuli","Li_Ga","shape_N_a","Neural network",2.62212943048042,2.32092617937591,3.06312886321782,"Bimodal"
"Cjuli","Li_Ga","shape_N_a","Random forest",3.3826925525,2.657078,4.0195740625,"Bimodal"
"Cjuli","Li_Ga","shape_N_b","Neural network",2.49602749298942,1.94572817057838,3.00242825675774,"Bimodal"
"Cjuli","Li_Ga","shape_N_b","Random forest",2.2913373375,1.712616,2.91390366666667,"Bimodal"
"Cjuli","Li_Ga","Tsplit","Neural network",1433839.3849287,1309600.92060481,1539819.90696884,"Bimodal"
"Cjuli","Li_Ga","Tsplit","Random forest",1321502.95366667,1101927.40740741,1523716.86956522,"Bimodal"
"Cjuli","Li_Ga","M12","Neural network",0.757881259257756,0.636107343388285,0.883195642378852,"Bimodal"
"Cjuli","Li_Ga","M12","Random forest",0.758134985333333,0.570572857142857,0.937132922636103,"Bimodal"
"Cjuli","Li_Ga","nBarriersM12","Neural network",0.0801209691000925,0.0645301754989761,0.0954538474721206,"Bimodal"
"Cjuli","Li_Ga","nBarriersM12","Random forest",0.0792310254225254,0.0596506178099702,0.0971452918619514,"Bimodal"
"Cjuli","Li_Ga","M21","Neural network",13.5070776178738,11.2675044472752,15.7606570689704,"Bimodal"
"Cjuli","Li_Ga","M21","Random forest",13.4599249926667,10.3959308333333,16.117302078853,"Bimodal"
"Cjuli","Li_Ga","nBarriersM21","Neural network",0.177490441421251,0.158566803199584,0.196953616593428,"Bimodal"
"Cjuli","Li_Ga","nBarriersM21","Random forest",0.191304928277233,0.158500213037921,0.228376651043886,"Bimodal"
"Cjuli","Med_Atl","N1","Neural network",487669.032387822,442441.640975089,540495.106848657,"Beta"
"Cjuli","Med_Atl","N1","Random forest",454720.796833333,390093,533190,"Beta"
"Cjuli","Med_Atl","N2","Neural network",752192.077102102,696885.037923912,814150.12872583,"Beta"
"Cjuli","Med_Atl","N2","Random forest",660230.533416667,589344.722222222,736242.555555556,"Beta"
"Cjuli","Med_Atl","Na","Neural network",472452.813219046,415895.168294661,523993.240395298,"Beta"
"Cjuli","Med_Atl","Na","Random forest",482110.672333333,420654,540242,"Beta"
"Cjuli","Med_Atl","shape_N_a","Neural network",2.8011183132064,2.48566949656861,3.10457270206069,"Beta"
"Cjuli","Med_Atl","shape_N_a","Random forest",2.66283097216667,2.2320628,3.08642307692308,"Beta"
"Cjuli","Med_Atl","shape_N_b","Neural network",1.66247926342707,1.35084900557165,2.00587613861407,"Beta"
"Cjuli","Med_Atl","shape_N_b","Random forest",1.6922484795,1.33006405797101,2.05687428571429,"Beta"
"Cjuli","Med_Atl","Tsplit","Neural network",1515600.00754612,1409804.4437188,1615232.60615618,"Beta"
"Cjuli","Med_Atl","Tsplit","Random forest",1335017.442,1146191.66666667,1507529.33333333,"Beta"
"Cjuli","Med_Atl","Tsc","Neural network",115474.817156641,99099.1033333124,131816.892920105,"Beta"
